ID,Accident report summary,Project type,Traditional hazard type,Energy source type,Accident severity,Hazard source 1,Hazard source attributes 1,Hazard source 2,Hazard source attributes 2,Hazard source 3,Hazard source attributes 3,Initiating mechanism,Target/threat outcome,Spatiotemporal relation,Control measures
4617,Employee #1 was working from an aerial lift  which was in the 'up' position   under an I-beam. Employee #1 was cutting out the beam pocket  when he  accidentally came into contact with the 'drive/steer' lever  which made the  manlift move. Employee #1 was killed when he was pinned between the I-beam and  manlift control panel. As per the Manufacturers Operating Manual for the  Manlift  SM2129E-14017  the drive/steer lever should not have been able to  move until the lower half of the knob was pulled up to release it from the  detent. As per the written statements  this safety device on the Drive/Steer  lever was not operational.,General construction,Other,Mechanical,Fatal,Aerial boom manlift,Movement control,I-beam,Solid structure,N/A,N/A,Accidental control engagement,Crushing/Death,Pinned between I-beam and lift control panel,"Proper operation of lifts, maintenance of safety devices"
4618,At approximately 11:35 a.m. on August 1  2013  Employee #1  a 41-year old male  unlicensed contractor with Delmar Van Dam Dba High Desert Dairy  was  constructing a 90 ft long by 60 ft wide by 25 ft high steel frame hay barn at  a residential worksite owned by High Desert Dairy in Lancaster California. An  Ingersol Rand hydraulic lift (Model VR-1056  Serial Number 167290  113CH6  35-218500A) was approximately 60 ft in length and was used to position  60-foot  1 000 pound metal trusses on to the vertical uprights of the barn  structure. A 0.375 in. rope was connected to vertical uprights with a white  rope attached to the north beam on the ground  positioned at top and connected  to a fence at north side as well as a yellow rope that connected to the beam.  The steel trusses would eventually hold up the roof of the barn. While  Employee #1 was at ground level retrieving a tool from the box of hydraulic  lift  a beam positioned approximately 25 ft above Employee #1 fell and struck  him in the head. The Employee #1 died on the scene and was transferred by  County of Los Angeles Department of Coroner. Employee #1 sustained traumatic  head injuries. The causal factor of the accident was the metal truss beam was  released from the hoisting apparatus without being effectively secured or  supported in position as to prevent it from being dislodged from position.  Factors that may cause truss being dislodged may include but not limited to  environmental conditions such as the wind. Delmar Vandam dba High Desert Dairy  was a dairy farm that conducts general farming activities  dairy  manufacturing  baling hay and barn construction.,General construction,Other,Mechanical,Fatal,Elevator,Elevating mechanism,Metal truss,Falling object,N/A,N/A,Truss dislodged and fell,Head injury/Death,Struck by falling metal truss beam,"Securely attach trusses, hazard assessment, wind conditions"
4619,On May 13  2013  a laborer  employed by a construction company  was performing  his regular duties  which on this day involved constructing a barn for  commercial agricultural purposes. The worker was on the barn's roof   approximately 16 feet above the ground  and was placing top caps along the  structure's ridgeline. He stepped through a skylight and fell to the ground.  Emergency services were called  and the Tulare County Sheriff's Department  responded at the site. The worker was transported to Community Regional  Medical Center in Fresno  CA  where he was hospitalized and treated for a  fractured neck. The employer reported to Cal/OSHA's Fresno District Office on  May 13  2013. Cal/OSHA investigated. Its report included reference to  insufficient/lack of engineering controls.,Roofing,Other,Gravity,Non-fatal,Skylight,Fragility,Roof,Elevation,N/A,N/A,Fell through skylight,Neck fracture/Hospitalization,Fell through skylight,"Skylight protection, fall protection equipment"
4620,On June 6  2013  Employee #1  with Ugstad Plumbing Inc.  rolled the company  van onto two ramps and attempted to fix a squeaky universal joint. After the  joint was disconnected  the van rolled down the ramps and crushed Employee #1.  Employee #1 was killed. There were no witnesses to the accident. He was  discovered by the Fergus Falls Police Department.,Transportation,Crush,Mechanical,Fatal,Vehicle,Mechanical motion,Ground,Hard surface,N/A,N/A,Van rolled down ramps,Crushing/Death,Crushed by rolling van,"Secure vehicles, use wheel chocks"
4621,On June 6  2013  Employee #1  with Jake Marshall Service  Inc.  was lifting a  200 pound compressor to the roof of a building  where he was going to replace  the old compressor with the new one. Employee #1 had placed a pulley with a  rope tied to the structural I-beam of the air conditioner units on the roof.  Employee #1 then had a coworker tie a rope around the compressor on the ground  and ran the rope through the pulley. The coworker pulled the rope and lifted  the compressor up the side of the building. The compressor got hung on the  gutter of the building  and Employee #1 leaned out over the edge to maneuver  the compressor off the gutter. At this point  the rope holding the pulley on  the I-beam broke  and the compressor and pulley fell  pulling Employee #1 over  the edge of the roof. Employee #1 fell 22 feet to the asphalt parking lot  below. Employee #1 was hospitalized  but he died on June 13  2013.,Other,Other,Gravity,Fatal,Aerial boom manlift,Lifting mechanism,Building,High Elevation,N/A,N/A,"Pulley failure, fell from roof",Fall/Death,Fell while lifting compressor to roof,"Use of proper lifting equipment, fall protection"
4622,At about 12:30 p.m. on April 20  2013  Employee #1  with Suffolk-Roel San  Diego  was installing four pieces of angle iron to the ceiling of the second  floor  to provide support to the decking where an opening was to be cut for an  HVAC duct. Employee #1 was using a 12 ft A-frame ladder to reach his work.  Employee#1 fell from the ladder between a metal scaffold and the ladder. He  fell approximately nine feet. During the fall  Employee#1 struck the spreader  bar on the ladder and the steel stud track on the concrete stem wall. Employee  #1 sustained lacerations to his right thumb  hand  and the back side of his  head and neck. Employee #1 was transported to the hospital  where he was  hospitalized.,General construction,Other,Gravity,Non-fatal,Ladder,Stability,Scaffold,Hard structure,N/A,N/A,Fell from ladder,Lacerations/Hospitalization,Fell from ladder while installing angle iron,"Ladder safety, fall protection"
4623,On April 10  2013  Employee #1  with Ideal Service Company  Inc.  was standing  on a 15 ft fixed roof access ladder  while pushing a 22 in. by 20 in. by 16  in. cardboard box  containing HVAC filters  through the roof hatch opening at  a client's warehouse facility. Employee #1 lost his balance and fell  approximately 27 feet to the concrete floor below. The ladder originated at a  12 ft high wooden landing platform  with stairs descending to the warehouse  floor. Employee #1 hit the platform top rail  then fell the full 27 feet  distance to the floor. Employee #1 was hospitalized multiple fractures.,Other,Other,Gravity,Non-fatal,Ladder,Elevation,Ground,Hard surface,N/A,N/A,"Lost balance, fell from ladder",Multiple fractures/Hospitalization,Fell through roof hatch opening,"Fall protection, roof hatch safety"
4624,At approximately 8:30 a.m. on October 26  2012  Employee #1  of Bay Air  Systems  Inc.  was working at a multiemployer construction site  a 24 Hour  Fitness building. He and three coworkers were on the roof and laying out huge  HVAC machinery. The machinery was being lifted by helicopter from the ground  to the roof. According to Employee #1  he was standing on the corner end of  the building and looking up at the helicopter  waiting for the machinery to be  lowered. He moved sideways. He later reported that as he moved he felt he was  stepping onto the steel cover of a 24-inch square opening in the roof. He fell  through the opening to concrete below. He was transported to Eden Medical  Center in Castro Valley  where he was admitted and treated for five days for  serious injuries. His injuries included but were not limited to fractured  ribs  fractured collar bone  and fractured spine.,Other,Other,Gravity,Non-fatal,Roof opening,Unprotected,Ground,Hard surface,N/A,N/A,Fell through roof opening,Severe injuries/Hospitalization,Fell through unguarded roof opening,"Fall protection, roof opening guards"
4625,At about 10:20 a.m. on August 14  2012  Employee #1  with Johnson Controls   Inc.  was conducting an inspection on a marine laboratory air handler system  located at the basement of the building. Employee #1 turned off the power of  the fan and removed the top panel cover. During the inspection  he moved  around  and his hand hit the rotating drive belt of the exhaust fan which  resulted in a right thumb injury. Employee #1 was transported to the Hospital.  Employee #1 suffered from an amputated fingertip.,Other,Other,Mechanical,Non-fatal,Air conditioning unit,Moving parts,Drive belt,Rotating,N/A,N/A,Hand hit rotating belt,Amputated fingertip,Hand caught in rotating drive belt,"Lockout/tagout procedures, machine guarding"
4626,At approximately 6:00 p.m. on April 3  2012  Employee #1 was working for a  plumbing  heating  and air conditioning contractor. The incident occurred at a  retail store distribution warehouse. Employee #1 was a full-time permanent  employee of the employer. He was not an employee of the retail distribution  center. Employee #1 was conducting the startup procedures for a roof-mounted  condenser unit. He was on the west side of the condenser unit. The condenser  unit was 89 inches (2.26 meters) east of a skylight that was covered with  acrylic plastic such as Plexiglas. According to a witness  Employee #1 was  facing east and talking on his cell phone. He stood up and took a step or two  backwards. He then appeared to stumble or trip on his foot and fall backwards  onto the skylight  breaking the acrylic plastic or Plexiglas cover. He fell  approximately 39 feet (11.9 meters) to the concrete floor below. Employee #1  received blunt force trauma injuries to multiple parts of his body  and he was  killed. The causal factors were that employee #1 was not wearing a fall  protection device that was appropriately secured  and that the skylight was  not guarded or protected.,Other,Other,Gravity,Fatal,Skylight,Fragility,Ground,Hard surface,N/A,N/A,Fell through skylight,Blunt force trauma/Death,Fell through skylight,"Skylight protection, fall protection equipment"
4627,Two employees were repairing the compressor on a Trane air conditioning unit  installed on the roof of a building. The unit had two compressors and was  capable of running at 50 percent of full power. The employees had not  deenergized the air conditioning unit at the panelboard  but the unit's switch  was open while they dismantled the broken compressor. One of the workers  removed the coil wire for the old compressor  and the employees closed the  unit's switch. The workers set the new compressor in place  but did not  connect the wiring to the compressor before they took a break. After the  break  one of the workers began to connect the new compressor by removing  electrical tape from the wiring. He contacted an energized 277-volt conductor  and was electrocuted.,Other,Electrocution,Electrical,Fatal,Air conditioning unit,Electrical hazard,Cable wire,Energized,N/A,N/A,Contacted energized conductor,Electrocution/Death,Contacted energized 277-volt conductor,"Lockout/tagout, electrical safety"
4628,On June 13  2011  Employee #1 was working inside a large air handling unit and  was electrocuted when he made contact with the energized duct heater coils. No  additional details were provided in the original narrative.,Other,Electrocution,Electrical,Fatal,Air conditioning unit,Electrical hazard,Duct heater coils,Energized,N/A,N/A,Contacted energized coils,Electrocution,Contact with energized duct heater coils,"Lockout/tagout, electrical safety"
4629,At about 2:30 p.m. on March 14  2011  Employee #1  a plumber's assistant  with  Kangarooter  Inc.  was operating an auger truck when the hydraulic ram  controlling the bucket movement failed. The auger bucket unexpectedly swung  towards the employee and struck him as he stood at the operator's station. The  employee sustained a femur fracture and was hospitalized for four days.,Plumbing,Other,Mechanical,Non-fatal,Auger truck,Hydraulic ram,Auger bucket,Moving part,N/A,N/A,"Hydraulic failure, bucket swung",Femur fracture/Hospitalization,Struck by unexpectedly swinging auger bucket,"Equipment maintenance, safe operation procedures"
4630,On November 15  2011  Employee #1  of E-Light Electrical Services in Hobbs New  Mexico  was exposed to coccidioides imitis  a fungus. This fungus produces  spores that can be inhaled when they are airborne. The employee was diagnosed  with Valley Fever  which resulted in his death.,Electrical,Exposure to harmful substance,Biological,Fatal,Fungus,Spores,Airborne,Inhalation risk,N/A,N/A,Exposed to fungus spores while working,Infection (Valley Fever)/Death,Exposed while working in a fungus-prone area,"Respiratory protection, area monitoring"
4631,"On January 5  2011  Employee #1 was working on a 36"" water line inside a  manhole. A valve was opened and released an unknown airborne substance.  Employee #1 asphyxiated on the substance  and two other employees were  hospitalized.",Plumbing,Asphyxia,Chemical,Fatal,Water pipeline,Airborne substance,Manhole,Confined space,N/A,N/A,Valve release in confined space,Asphyxiation/Death and hospitalizations,Exposed while working in a manhole,"Ventilation, respiratory protection, hazard communication"
4632,On September 29  2009  Employees #1 and #2  who were employed by a restoration  services company  were working in an apartment unit  on the second floor of an  inhabited  four-story multi-unit residential building. The workers had been at  the site on two previous occasions to expose framing members by removing  drywall and then to enclosed the subject area with plastic sheeting. Because  test results from an independent testing lab showed that mold was still  present  Employees #1 and #2 returned to the apartment unit a third time to  encapsulate the mold. Employees #1 and #2 were spraying Kilz(R) Original  Aerosol to encapsulate visible mold that was on the framing members of an  interior partition wall of the apartment unit  while inside the  plastic-enclosed containment area. The homeowner was in the kitchen area of  the apartment. Employees #1 and #2 exhausted four and one-half  13-ounce-sized  cans of the flammable aerosol within the containment area  which measured 41  inches deep by 8 feet long by 8 feet  10 inches high. They then plugged into  an electrical outlet an OmniAire 1000V HEPA air filtration machine  which was  also inside the containment area. An explosion and fire occurred  when an  ignition source was introduced inside the containment area where flammable  vapors were concentrated. Employees #1 and #2 sustained serious burns (second  and third degree) to their upper bodies and faces. They required inpatient  hospitalization for more than 24 hours. According to the manufacturer   OmniAire 1000V was an air filtering machine designed for filtering  particulates and providing negative air pressure for asbestos abatement. The  machine was listed as meeting requirements for UL (Underwriters Laboratories)  Standard UL507 for Safety for Electric Fans. The listing did not include use  in hazardous atmospheres  where flammable vapors were present. The machine had  a variable speed controller and Emerson  open-frame type fan motor. The  investigation found that the employer's IIPP (Injury and Illness Prevention  Program) lacked several required elements and that the workers were not  trained on the physical or health hazards of the Kilz(R) Original Aerosol.  Further  the improper use of listed equipment in a hazardous atmosphere caused  the explosion and fire. The employer was issued citations accordingly.,Other,Burn,Chemical,Non-fatal,Aerosol paint can,Flammable,Air filtration machine,Electrical,N/A,N/A,"Spray in confined space, ignition by machine",Burns/Serious injuries,While spraying flammable aerosol in enclosed area,"Proper ventilation, equipment use in non-hazardous atmospheres"
4633,On October 4  2005  Employee #1 was working as a carpenter  specializing in  building docks. He was installing fender panels on a bridge pier. As he pulled  a 1 inch diameter air hose into position to power some pneumatic tools  he  fell from the pier into water approximately fifteen feet deep and drowned.  Possibly  he struck his head on a protruding portion of the fender system  prior to striking the water.,General construction,Drowning,Others,Fatal,Air hose,Pneumatic power,Bridge pier,Water body,N/A,N/A,Fell from pier into water,Drowning/Death,Fell from bridge pier into water,"Fall protection, water safety measures"
4634,Employee #1 plugged his supplied-air respirator into a nitrogen source. He was  hospitalized for treatment of asphyxia.,General construction,Asphyxia,Chemical,Non-fatal,Nitrogen,Asphyxiant,Respirator,Misconnection,N/A,N/A,Plugged respirator into nitrogen source,Asphyxia/Hospitalization,Mistakenly connected respirator to nitrogen source,"Proper equipment labeling, training"
4635,At 8:00 a.m. on December 14  2010  Employee #1  a welder  set up welding  equipment on a construction worksite located on a public residential road in  Montebello  California. Employee #1 set up the welding equipment inside a 30  in. concrete line steel pipe located 12 ft below grade. An overnight  accumulation of methane was probably present in the soils of Montebello due to  abandoned oil and gas wells in the area. Preentry purging of the air and air  monitoring within the confined space was not conducted. The shield metal arc  welding equipment sparked. The spark ignited flammable gases and caused a  flash fire in the pipe. Employee #1 received second and third degree burns  from the fire. Employee #1 was hospitalized for more than 24 hours and treated  for his burns. That same day  Cal/OSHA received a report of the accident.,Welding,Burn,Chemical,Non-fatal,Methane,Flammable gas,Welding machine,Spark,N/A,N/A,Spark ignited methane in confined space,Burns/Serious injuries,Ignited flammable gases while welding in confined space,"Air monitoring, ventilation, confined space procedures"
4636,On August 11  2010  Employee #1  a newly hired day laborer  and Employee #2   another day laborer of Rocky Plumbing  were working in the excavation located  at the intersection of Clifford Road and Steel Road in Alvin  Texas. Employee  #1 went for some water. When he returned  he found employee #2 slumped over in  the excavation. Employee # 1  along with the job foreman  pulled Employee #2  out of the excavation  and emergency services were called. Employee #2 was  transported to Clear Lake Regional Medical Center  where he later died. During  interviews with Employee #1 stated that there was no atmospheric testing or  continuous monitoring while they were inside the excavation. The employer  admitted that he did not conduct any testing of the area. He usually had an  independent contractor conduct the testing for him  but apparently that had  not been done at this site. The employees had not received any training in  excavation work or hazardous atmospheres. The employer does not have any  safety programs in place for his company. CSHO went to the site and collected  air samples from the man hole that was put in by the employer and found that  it did contain some H2S and an elevated LEL. The Medical Examiner's office  ruled that Employee #1 died from Atherosclerotic and hypertensive  cardiovascular disease. The Harris County Medical Examiner's Office did not  test for H2S.,Plumbing,Other,Chemical,Fatal,Double-check,Lack of air testing,Hydrogen sulfide (H2S),Toxic gas,N/A,N/A,Working in untested excavation,Death by cardiovascular disease,Overcome by hazardous atmosphere in excavation,"Atmospheric testing, training, ventilation"
4637,At approximately 7:00 p.m. on June 12  2007  Employees #1 and #2  construction  carpenters  became ill with symptoms of nausea  metallic taste  and bluing of  the lips. The two employees were building a wooden box to be used as a form to  pour concrete around at a coal fired power generation plant  where contractors  were in the beginning stages of building a nitrous oxide scrubber system. The  incident occurred in an open area and no hazardous chemicals were in use. Air  sampling was conducted immediately after the incident by the company and  continued until the compliance inspection started. The day after the first  incident occurred  a second employee suffered from similar symptoms even  though he was not doing the same activity. The company did continuous air  sampling for several days and did not obtain any high readings. Additional  sampling was also conducted on employee drinking water and soil samples with  no significant findings. Employees #1 and #2 were not hospitalized for  treatment.,General construction,Other,Unspecified,Non-fatal,Double-check,Unknown cause,Power plant,Coal-fired,N/A,N/A,"Illness in open area, unknown source","Nausea, metallic taste/No hospitalization",Became ill while working at power generation plant,"Air monitoring, investigation of unknown hazards"
4638,On August 13  2008  Employee #1 was preparing to put a concrete plug in an  underground concrete air return. The air return was 18-in. wide and 36-in.  deep before it made a 90-degree turn  and then traveled several feet under  length of house. The employee was working alone  and he entered the air return  head first and got stuck. Employee #1 was unable to breath and died before  being found by his boss several hours later.,General construction,Asphyxia,Mechanical,Fatal,Concrete,Confined space,N/A,N/A,N/A,N/A,Entered confined space head first,Asphyxiation/Death,Became stuck in underground concrete air return,"Safe entry procedures, confined space awareness"
4639,At approximately 12:40 p.m. on August 9  2008  Employee #1 was planting a tree  near an opening. The tree needed to be planted at a small area near a wall and  next to an opening. Employee #1 tried to gain access and went under caution  tape and stepped onto a board used to cover an opening 22-ft by 3-ft 5-in. and  15-ft 4-in. deep. The opening was an intake air shaft for the generator. The  board did not support his weight and he fell to the bottom of the shaft.  Employee #1 sustained contusions to his right hip  left elbow and right palm.  Employee #1 was hospitalized for approximately eight hours.,Landscaping,Collision,Gravity,Non-fatal,Board,Insufficient support,Air ventilation shaft,Deep,N/A,N/A,Fell through unsupported board,Multiple injuries/Hospitalization,Fell through cover into air shaft,"Fall protection, covering and marking openings"
4640,At approximately 11:45 a.m. on April 18  2002  Employee #1 was removing a  cover  called a form  from an air shaft. He fell 90 ft to the bottom of the  shaft and was killed. The form was constructed of two 4-by-4s and a 3-by-4  sheet of 0.75-in. plywood. The form was secured in place with four Ellis  jacks.,General construction,Other,Gravity,Fatal,Air ventilation shaft,Deep,Concrete form,Improper use,N/A,N/A,Removing cover from shaft,Fall/Death,Fell into air shaft while removing cover,"Fall protection, guarding openings"
4641,Employee #1 and five coworkers were engaged in roofing work on an 18-story  building. Employee #1 was replacing coping stones on top of a roof parapet   adjacent to which was an HVAC shaft with a skylight. The surface of the  skylight was tarred over  making it look like it was made of something other  than glass. Employee #1 was standing on the skylight to access the parapet  area when it broke. He fell 19 stories down the HVAC shaft from the roof to  the basement  and was killed.,Roofing,Other,Gravity,Fatal,Skylight,Misleading appearance,Roof,High Elevation,N/A,N/A,Fell through tarred-over skylight,Fall/Death,Fell through skylight down HVAC shaft,"Skylight protection, fall protection"
4642,Employee #1  an elevator mechanic  was found dead at the bottom of a 15-dtory  tall HVAC duct. There was no elevator in the ducts and the reason he was in  the ductwork was not clear. To access the spot where Employee #1 fell  he  would have had to crawl 20 ft in one direction  make a 90 degree turn  and  then crawl about another 60 ft in complete darkness.,Other,Other,Gravity,Fatal,"Heating, ventilation, and air conditioning (HVAC) duct","Tall, dark",N/A,N/A,N/A,N/A,"Entered ductwork, unclear reason",Fall/Death,Fell into HVAC duct,"Fall protection, confined space awareness"
4643,While working within the mezzanine plenum of an air-supported structure   Employee #1 fell 48 ft through a hatchway door opening  landing at the bottom  of a shaft. He was killed.,General construction,Other,Gravity,Fatal,Double-check,Hatchway opening,Mezzanine floor,High Elevation,N/A,N/A,Fell through hatchway opening,Fall/Death,Fell through hatchway door into shaft,"Fall protection, securing openings"
4644,At approximately 10:40 a.m. on January 21  1993  Employee #1 was working on  the third floor of a building under construction. A tool dropped from his  pocket and fell down an air ventilation shaft. To retrieve the tool  he  descended to the lowest level  which was two levels below ground surface. The  shaft was open only at the third floor and in the ceiling of the lowest level.  There the ceiling was 97 inches above the floor. The shaft was about 48 inches  wide and 133 1/2 inches long in rectangular section. Although CAL/OSHA safety  orders required two means of access to the third floor  only one such means of  access was provided and it was in an unsafe location at a distance from the  shaft. Employee #1  attempting to take a short cut back to his work post   stacked a number of buckets  mounted the stack  and proceeded up the shaft by  pushing his hands against the shaft walls  stopping to rest on an occasional  projection. He got within about 5 feet of the top of the shaft before falling  all the way to the concrete floor  about 45 feet  and sustaining fractures in  both legs. Paramedics transported him to a hospital.,General construction,Other,Gravity,Non-fatal,Air ventilation shaft,Deep,Bucket,Unstable climbing method,N/A,N/A,Attempted to climb shaft using buckets,Fall/Severe injuries,Fell while attempting to climb air ventilation shaft,"Safe access, fall protection"
4645,Employee #1  a journeyman electrician at a construction site  had been  employed since August 13  1991. He left the ground floor work location to  determine the reason for a power failure on the sixth floor. He fell 34 ft  through an open 6 ft by 9 ft air duct shaft before reaching the sixth floor.  Employee #1 died. Circumstances causing the fall remain unknown. Because work  was not in progress  workers were not on the mezzanine-level entry to witness  the employee's fall through the air duct shaft.,Electrical,Other,Gravity,Fatal,Air duct shaft,"Open, deep",Double-check,Multiple floors,N/A,N/A,Fell through open duct shaft,Fall/Death,Fell through air duct shaft,"Fall protection, securing openings"
4646,An employee was working on a boom at a hospital over a 200-ft by 6-ft by  38-ft-deep air draft system. The boom started to break and the employee  attempted to escape from the boom  but fell into the air draft system striking  the level below. He suffered bruises and contusions  and was killed.,General construction,Other,Gravity,Fatal,Boom arm,Breakage risk,Air draft system,Deep,N/A,N/A,Attempted escape from breaking boom,Fall/Death,Fell into air draft system,"Fall protection, securing work platforms"
